"time","remote_ip","remote_user","request","response","bytes","referrer","agent"
"17/May/2015:08:05:32 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:08:05:23 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:08:05:24 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)"
"17/May/2015:08:05:34 +0000","217.168.17.5","-","GET /downloads/product_1 HTTP/1.1","200","490","-","Debian APT-HTTP/1.3 (0.8.10.3)"
"17/May/2015:08:05:09 +0000","217.168.17.5","-","GET /downloads/product_2 HTTP/1.1","200","490","-","Debian APT-HTTP/1.3 (0.8.10.3)"
"17/May/2015:08:05:57 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:08:05:02 +0000","217.168.17.5","-","GET /downloads/product_2 HTTP/1.1","404","337","-","Debian APT-HTTP/1.3 (0.8.10.3)"
"17/May/2015:08:05:42 +0000","217.168.17.5","-","GET /downloads/product_1 HTTP/1.1","404","332","-","Debian APT-HTTP/1.3 (0.8.10.3)"
"17/May/2015:08:05:01 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)"
"17/May/2015:08:05:27 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:08:05:12 +0000","217.168.17.5","-","GET /downloads/product_2 HTTP/1.1","200","3316","-","-"
"17/May/2015:08:05:49 +0000","188.138.60.101","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:14 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:45 +0000","46.4.66.76","-","GET /downloads/product_1 HTTP/1.1","404","318","-","Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
"17/May/2015:08:05:26 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","404","324","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:08:05:22 +0000","91.234.194.89","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:07 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.17)"
"17/May/2015:08:05:38 +0000","37.26.93.214","-","GET /downloads/product_2 HTTP/1.1","404","319","-","Go 1.1 package http"
"17/May/2015:08:05:25 +0000","188.138.60.101","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:11 +0000","93.180.71.3","-","GET /downloads/product_1 HTTP/1.1","404","340","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.21)"
"17/May/2015:08:05:02 +0000","46.4.66.76","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
"17/May/2015:08:05:06 +0000","62.75.198.179","-","GET /downloads/product_2 HTTP/1.1","200","490","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:55 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:53 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:32 +0000","210.245.80.75","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (1.0.1ubuntu2)"
"17/May/2015:08:05:52 +0000","46.4.83.163","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:18 +0000","91.234.194.89","-","GET /downloads/product_2 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
"17/May/2015:08:05:24 +0000","31.22.86.126","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.16)"
"17/May/2015:08:05:25 +0000","217.168.17.5","-","GET /downloads/product_1 HTTP/1.1","200","3301","-","-"
"17/May/2015:08:05:50 +0000","80.91.33.133","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.8.16~exp12ubuntu10.22)"
"17/May/2015:08:05:03 +0000","173.203.139.108","-","GET /downloads/product_1 HTTP/1.1","304","0","-","Debian APT-HTTP/1.3 (0.9.7.9)"
